Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53714.1 |virion spike glycoprotein precursor,0.5859,0.4141,58.59%,41.41%,-0.2932
ASU90120.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90131.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90142.1 |spike glycoprotein,0.99926,0.00074,99.93%,0.07%,-0.9993
ASU90153.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90164.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90175.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90186.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90197.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90208.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90219.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90230.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90241.1 |spike glycoprotein,0.99113,0.00887,99.11%,0.89%,-0.9911
ASU90252.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90263.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90274.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90285.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90295.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90307.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90318.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90340.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90351.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90362.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90373.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90384.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90395.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90406.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90417.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90428.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90439.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90461.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90472.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90483.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90494.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90505.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90516.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90527.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90538.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90549.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90560.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90571.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90582.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90593.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90604.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90615.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90626.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90637.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90648.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90659.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90670.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90681.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90692.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90703.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90714.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90725.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90736.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90747.1 |spike glycoprotein,0.99778,0.00222,99.78%,0.22%,-0.9978
ASU90758.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90769.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90780.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90791.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90802.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90813.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90824.1 |spike glycoprotein,0.99778,0.00222,99.78%,0.22%,-0.9978
ASU90835.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90846.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90857.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90868.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90879.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90890.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90901.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90912.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90923.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90934.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90945.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90956.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90966.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90978.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90988.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90999.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91010.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91021.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91032.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91043.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91054.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91065.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91076.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91087.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91098.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91109.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91120.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91131.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91142.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91153.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91164.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91175.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91186.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91197.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91208.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91219.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91230.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91241.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91252.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91262.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91273.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91295.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91305.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91315.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU91325.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ATY74381.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ATY74392.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
ATY74403.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
ATY74414.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87318.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87329.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87351.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87362.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87373.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87384.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87395.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87406.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87428.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AVK87450.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AVK87461.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AVV61900.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AWM99582.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AWU59321.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AXG21643.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AXG21654.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AXG21665.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AYJ71470.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AYJ71481.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AYM48030.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AYO86699.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AYP10298.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AYV64549.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AYV64560.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
QDP16195.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
QDP16206.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
QGW51898.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
QGW51909.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
QGW51920.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UBS90429.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UBS90451.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UBS90462.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UBS90473.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UBS90484.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UBS90506.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UBS90517.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UYR00344.1 |spike glycoprotein,0.99778,0.00222,99.78%,0.22%,-0.9978
UYR00354.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
UYR00365.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
XJP51031.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
XJP51042.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
XJP51053.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AAD14585.1 |virion spike glycoprotein precursor,0.74112,0.25888,74.11%,25.89%,-0.6507
AAQ55048.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
ABX75367.1 |virion spike glycoprotein precursor,0.74112,0.25888,74.11%,25.89%,-0.6507
ACI28624.1 |spike glycoprotein precursor,0.69231,0.30769,69.23%,30.77%,-0.5556
ACI28632.1 |spike glycoprotein precursor,0.69527,0.30473,69.53%,30.47%,-0.5617
AGB56686.1 |virion spike glycoprotein precursor,0.72929,0.27071,72.93%,27.07%,-0.6288
AGB56695.1 |virion spike glycoprotein precursor,0.72929,0.27071,72.93%,27.07%,-0.6288
AGB56704.1 |virion spike glycoprotein precursor,0.72929,0.27071,72.93%,27.07%,-0.6288
AGB56713.1 |virion spike glycoprotein precursor,0.72929,0.27071,72.93%,27.07%,-0.6288
AGB56722.1 |virion spike glycoprotein precursor,0.72929,0.27071,72.93%,27.07%,-0.6288
AGB56731.1 |virion spike glycoprotein precursor,0.72929,0.27071,72.93%,27.07%,-0.6288
AGB56740.1 |virion spike glycoprotein precursor,0.72929,0.27071,72.93%,27.07%,-0.6288
AGB56749.1 |virion spike glycoprotein precursor,0.74112,0.25888,74.11%,25.89%,-0.6507
AGB56758.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
AGB56767.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
AGB56776.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AGB56785.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
AGB56794.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
AGB56803.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
AGB56812.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
AGB56821.1 |virion spike glycoprotein precursor,0.73669,0.26331,73.67%,26.33%,-0.6426
AGB56830.1 |virion spike glycoprotein precursor,0.73964,0.26036,73.96%,26.04%,-0.648
AGB56839.1 |virion spike glycoprotein precursor,0.74112,0.25888,74.11%,25.89%,-0.6507
AHX24649.2 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AHX24658.2 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AHX24667.2 |virion spike glycoprotein precursor,0.72929,0.27071,72.93%,27.07%,-0.6288
AIE11800.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11809.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11818.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11827.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11836.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11845.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11854.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11863.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11872.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11881.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11890.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11899.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11908.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIE11917.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95887.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95896.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95905.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95914.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95923.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95932.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95941.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95950.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95959.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95968.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95977.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95986.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG95995.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96004.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96013.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96022.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96031.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96040.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96049.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96058.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96067.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96076.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96085.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96094.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96103.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96112.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96121.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96130.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96139.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96148.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96157.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96166.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96175.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96184.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96193.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96202.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96211.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96220.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96229.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96238.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96247.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96256.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96265.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96274.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96283.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96292.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96301.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96310.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96319.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96328.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96337.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96346.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96355.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96364.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96373.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96382.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96391.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96400.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96409.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96418.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
AIG96427.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
