Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53712.1 |VP35 matrix protein,0.99088,0.00912,99.09%,0.91%,-0.9908
ANI69873.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69884.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69895.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69906.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69917.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69928.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41291.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41302.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41317.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41327.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41338.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41349.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41360.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41371.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41382.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ARQ84741.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ARQ84752.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ARQ84763.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ARQ84774.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45702.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45714.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45725.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45736.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45747.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45758.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45769.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45780.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45791.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45802.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45813.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45824.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45835.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45846.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45857.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45868.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU45879.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU89927.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU89939.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU89950.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU89961.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU89972.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU89983.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU89994.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90005.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90016.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90027.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90038.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90049.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90060.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90071.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90082.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90093.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90104.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90115.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90126.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90137.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90148.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90159.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90170.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90181.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90192.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90203.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90214.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90225.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90236.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90247.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90258.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90269.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90280.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90291.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90301.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90313.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90324.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90346.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90357.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90368.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90379.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90390.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90401.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90412.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90423.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90434.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90445.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90467.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90478.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90489.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90500.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90511.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90522.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90533.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90544.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90555.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90566.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90577.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90588.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90599.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90610.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90621.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90632.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90643.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90654.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90665.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90676.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90687.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90698.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90709.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90720.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90731.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90742.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90753.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90764.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90775.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90786.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90797.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90808.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90819.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90830.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90841.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90852.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90863.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90874.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90885.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90896.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90907.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90918.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90929.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90940.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90951.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90962.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90972.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90983.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU90994.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91005.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91016.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91027.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91038.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91049.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91060.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91071.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91082.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91093.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91104.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91115.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91126.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91137.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91148.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91159.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91170.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91181.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91192.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91203.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91214.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91225.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91236.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91247.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91257.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91268.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91279.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91290.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91300.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91310.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91320.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ASU91330.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ATQ39392.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ATY74387.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ATY74398.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ATY74409.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ATY74420.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AUM60020.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AUM60030.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87324.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87335.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87346.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87357.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87368.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87379.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87390.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87401.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87412.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87423.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87434.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87445.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87456.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVK87467.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AVV61906.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AWM99588.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AWU59327.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AXG21649.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AXG21660.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AXG21671.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AYJ71476.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AYJ71487.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AYM48037.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AYO86705.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AYP10304.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AYV64555.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AYV64566.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AZK15906.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QCI31475.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QCI31486.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QCQ29081.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QDP16201.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QDP16212.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QGW51904.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QGW51915.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QGW51926.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19872.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19882.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19892.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19902.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19912.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19922.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19932.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19942.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QJX19963.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QKF93424.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QKX95941.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QSI72195.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
QSI72206.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90435.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90446.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90457.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90468.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90479.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90490.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90501.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90512.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UBS90523.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UHI99917.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
UHI99928.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
USL83017.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
XJP51037.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
XJP51048.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
XJP51059.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
YP_007188585.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
YP_009047210.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AAD14583.1 |matrix protein,0.81595,0.18405,81.6%,18.4%,-0.7744
AAM76033.1 |membrane-associated matrix protein VP40,0.81595,0.18405,81.6%,18.4%,-0.7744
AAN04450.1 |matrix protein VP40,0.83082,0.16918,83.08%,16.92%,-0.7964
AAQ55047.1 |matrix protein,0.81595,0.18405,81.6%,18.4%,-0.7744
AAU43885.1 |matrix protein,0.89264,0.10736,89.26%,10.74%,-0.8797
AAV48576.1 |matrix protein,0.83384,0.16616,83.38%,16.62%,-0.8007
ABX75366.1 |matrix protein,0.81595,0.18405,81.6%,18.4%,-0.7744
ABY75323.1 |matrix protein,0.89264,0.10736,89.26%,10.74%,-0.8797
ABY75327.1 |minor matrix protein,1.0,0.0,100.0%,0.0%,-1.0
ACR33189.1 |matrix protein,0.89264,0.10736,89.26%,10.74%,-0.8797
ACT22786.1 |matrix protein VP40,0.83384,0.16616,83.38%,16.62%,-0.8007
ACT22799.1 |truncated matrix protein VP40,0.89091,0.10909,89.09%,10.91%,-0.8776
ACT22801.1 |matrix protein VP40,0.84894,0.15106,84.89%,15.11%,-0.8221
AFP28226.1 |matrix protein,0.89264,0.10736,89.26%,10.74%,-0.8797
AGB56677.1 |matrix protein,0.89264,0.10736,89.26%,10.74%,-0.8797
AGC02885.1 |matrix protein VP40,0.83384,0.16616,83.38%,16.62%,-0.8007
AGC02893.1 |matrix protein VP40,0.85196,0.14804,85.2%,14.8%,-0.8262
AHX24648.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
AHX24657.1 |matrix protein,0.81288,0.18712,81.29%,18.71%,-0.7698
