Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53712.1|VP35 matrix protein,0.79027,0.20973,79.03%,20.97%,-0.7346
ASU90687.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90698.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90709.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90720.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90731.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90742.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90753.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90764.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90775.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90786.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90797.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90808.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90819.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90830.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90841.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90852.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90863.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90874.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90885.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90896.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90907.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90918.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90929.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90940.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90951.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90962.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90972.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90983.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90994.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91005.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91016.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91027.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91038.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91049.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91060.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91071.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91082.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91093.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91104.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91115.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91126.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91137.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91148.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91159.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91170.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91181.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91192.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91203.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91214.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91225.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91236.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91247.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91257.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91268.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91279.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91290.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91300.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91310.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91320.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU91330.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ATQ39392.1|membrane protein,0.92237,0.07763,92.24%,7.76%,-0.9158
ATY74387.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ATY74398.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ATY74409.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ATY74420.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AUM60020.1|membrane protein,0.94954,0.05046,94.95%,5.05%,-0.9469
AUM60030.1|membrane protein,0.94954,0.05046,94.95%,5.05%,-0.9469
AVK87324.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87335.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87346.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87357.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87368.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87379.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87390.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87401.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87412.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87423.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87434.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87445.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87456.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVK87467.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AVV61906.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AWM99588.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AWU59327.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AXG21649.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AXG21660.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AXG21671.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AYJ71476.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AYJ71487.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AYM48037.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AYO86705.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AYP10304.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AYV64555.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AYV64566.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AZK15906.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QCI31475.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QCI31486.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QCQ29081.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QDP16201.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QDP16212.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QGW51904.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QGW51915.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QGW51926.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19872.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19882.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19892.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19902.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19912.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19922.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19932.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19942.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QJX19963.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QKF93424.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QKX95941.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QSI72195.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QSI72206.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90435.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90446.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90457.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90468.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90479.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90490.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90501.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90512.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UBS90523.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UHI99917.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
UHI99928.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
USL83017.1|membrane protein,0.93213,0.06787,93.21%,6.79%,-0.9272
XJP51037.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
XJP51048.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
XJP51059.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
YP_007188585.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
YP_009047210.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AAD14583.1|matrix protein,0.62577,0.37423,62.58%,37.42%,-0.402
AAM76033.1|membrane-associated matrix protein VP40,0.62577,0.37423,62.58%,37.42%,-0.402
AAN04450.1|matrix protein VP40,0.63142,0.36858,63.14%,36.86%,-0.4163
AAQ55047.1|matrix protein,0.62577,0.37423,62.58%,37.42%,-0.402
