Naziv_proteina,frakcijska_razlika_A,frakcijska_razlika_C,frakcijska_razlika_D,frakcijska_razlika_E,frakcijska_razlika_F,frakcijska_razlika_G,frakcijska_razlika_H,frakcijska_razlika_I,frakcijska_razlika_K,frakcijska_razlika_L,frakcijska_razlika_M,frakcijska_razlika_N,frakcijska_razlika_P,frakcijska_razlika_Q,frakcijska_razlika_R,frakcijska_razlika_S,frakcijska_razlika_T,frakcijska_razlika_V,frakcijska_razlika_W,frakcijska_razlika_Y
AIE11899.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11908.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11917.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95887.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95896.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95905.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95914.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95923.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95932.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95941.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95950.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95959.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95968.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95977.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95986.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG95995.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96004.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96013.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96022.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96031.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96040.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96049.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96058.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96067.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96076.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96085.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96094.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96103.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96112.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96121.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96130.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96139.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96148.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96157.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96166.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96175.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96184.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96193.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96202.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96211.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96220.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96229.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96238.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96247.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96256.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96265.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96274.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96283.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96292.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96301.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96310.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96319.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96328.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96337.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96346.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96355.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96364.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96373.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96382.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96391.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96400.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96409.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96418.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96427.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIG96436.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
