Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
ALA49501.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49512.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49523.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49534.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49545.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49556.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49567.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49578.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49589.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49600.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49611.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49622.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49633.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49644.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49655.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49666.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49677.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49688.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49699.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49710.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49721.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49732.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49743.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49754.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49765.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49776.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49787.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49798.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49809.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49820.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49831.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49842.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49853.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49864.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49875.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49886.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49897.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49908.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49919.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49930.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49941.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49952.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49963.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49974.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49985.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49996.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA50007.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA50018.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA50029.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA50040.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA50051.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA50062.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA50073.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALR69647.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALT66876.1 ___membrane protein,0.80488,0.19512,80.49%,19.51%,-0.7576
ALT66886.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANC28651.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANC28662.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANC28673.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANC28684.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANC28695.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANC28706.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANC28717.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69830.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69841.1 ___membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69852.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69863.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69873.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69884.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69895.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69906.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69917.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ANI69928.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41291.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41302.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41317.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41327.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41338.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41349.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41360.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41371.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AQZ41382.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ARQ84741.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ARQ84752.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ARQ84763.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ARQ84774.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45702.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45714.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45725.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45736.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45747.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45758.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45769.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45780.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45791.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45802.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45813.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45824.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45835.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45846.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45857.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45868.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45879.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU89927.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU89939.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU89950.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU89961.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU89972.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU89983.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU89994.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90005.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90016.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90027.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90038.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90049.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90060.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90071.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90082.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90093.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90104.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90115.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90126.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90137.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90148.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90159.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90170.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90181.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90192.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90203.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90214.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90225.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90236.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90247.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90258.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90269.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90280.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90291.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90301.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90313.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90324.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90346.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90357.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90368.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90379.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90390.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90401.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90412.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90423.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90434.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90445.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90467.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90478.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90489.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90500.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90511.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90522.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90533.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90544.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90555.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90566.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90577.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90588.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90599.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90610.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90621.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90632.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90643.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90654.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90665.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90676.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90687.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90698.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90709.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90720.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90731.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90742.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90753.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90764.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90775.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90786.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90797.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90808.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90819.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90830.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90841.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90852.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90863.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90874.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90885.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90896.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90907.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90918.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90929.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90940.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90951.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90962.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90972.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90983.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU90994.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91005.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91016.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91027.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91038.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91049.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91060.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91071.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91082.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91093.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91104.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91115.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91126.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91137.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91148.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91159.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91170.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91181.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91192.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91203.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91214.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91225.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91236.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91247.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91257.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91268.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91279.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91290.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91300.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91310.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91320.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU91330.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ATQ39392.1 ___membrane protein,0.88584,0.11416,88.58%,11.42%,-0.8711
ATY74387.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ATY74398.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ATY74409.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ATY74420.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AUM60020.1 ___membrane protein,0.93119,0.06881,93.12%,6.88%,-0.9261
AUM60030.1 ___membrane protein,0.93119,0.06881,93.12%,6.88%,-0.9261
AVK87324.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87335.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87346.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87357.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87368.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87379.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87390.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87401.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87412.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87423.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87434.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87445.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87456.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVK87467.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AVV61906.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AWM99588.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AWU59327.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AXG21649.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AXG21660.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AXG21671.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AYJ71476.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AYJ71487.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AYM48037.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AYO86705.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AYP10304.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AYV64555.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AYV64566.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AZK15906.1 ___membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QCI31475.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QCI31486.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QCQ29081.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QDP16201.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QDP16212.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QGW51904.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QGW51915.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QGW51926.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19872.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19882.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19892.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19902.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19912.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19922.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19932.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19942.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QJX19963.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QKF93424.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QKX95941.1 ___membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
QSI72195.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
QSI72206.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
UBS90435.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
UBS90446.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
UBS90457.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
UBS90468.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
UBS90479.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
UBS90490.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
UBS90501.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
