Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
ABE27019.1 ___nucleoprotein,0.0583,0.0597,-0.0229,0.0083,0.0,0.0,0.0417,0.0985,-0.577,0.05,0.1075,-0.5347,0.0444,0.0269,0.6543,0.0667,0.0269,1.4815,0.0389,0.0239,0.6285,0.0694,0.0478,0.454,0.0528,0.0358,0.4734,0.1306,0.0716,0.8223,0.0028,0.0119,-0.7674,0.0528,0.0478,0.105,0.0306,0.1015,-0.6989,0.0528,0.0836,-0.3686,0.0389,0.0537,-0.2762,0.0694,0.0985,-0.295,0.0694,0.0418,0.6617,0.0833,0.0448,0.8611,0.0056,0.003,0.8611,0.0333,0.0149,1.2333
ABE27026.1 ___nucleoprotein,0.0583,0.0597,-0.0229,0.0083,0.0,0.0,0.0417,0.0985,-0.577,0.05,0.1075,-0.5347,0.0444,0.0269,0.6543,0.0667,0.0269,1.4815,0.0389,0.0239,0.6285,0.0694,0.0478,0.454,0.0528,0.0358,0.4734,0.1306,0.0716,0.8223,0.0028,0.0119,-0.7674,0.0528,0.0478,0.105,0.0306,0.1015,-0.6989,0.0528,0.0836,-0.3686,0.0389,0.0537,-0.2762,0.0694,0.0985,-0.295,0.0694,0.0418,0.6617,0.0833,0.0448,0.8611,0.0056,0.003,0.8611,0.0333,0.0149,1.2333
ABE27033.1 ___nucleoprotein,0.0583,0.0597,-0.0229,0.0083,0.0,0.0,0.0417,0.0985,-0.577,0.05,0.1075,-0.5347,0.0444,0.0269,0.6543,0.0667,0.0269,1.4815,0.0389,0.0239,0.6285,0.0694,0.0478,0.454,0.0528,0.0358,0.4734,0.1306,0.0716,0.8223,0.0028,0.0119,-0.7674,0.0528,0.0478,0.105,0.0306,0.1015,-0.6989,0.0528,0.0836,-0.3686,0.0389,0.0537,-0.2762,0.0694,0.0985,-0.295,0.0694,0.0418,0.6617,0.0833,0.0448,0.8611,0.0056,0.003,0.8611,0.0333,0.0149,1.2333
ABE27040.1 ___nucleoprotein,0.0583,0.0597,-0.0229,0.0083,0.0,0.0,0.0417,0.0985,-0.577,0.05,0.1075,-0.5347,0.0444,0.0269,0.6543,0.0667,0.0269,1.4815,0.0389,0.0239,0.6285,0.0694,0.0478,0.454,0.0528,0.0358,0.4734,0.1306,0.0746,0.7494,0.0028,0.0119,-0.7674,0.0528,0.0478,0.105,0.0306,0.1015,-0.6989,0.0528,0.0806,-0.3452,0.0389,0.0537,-0.2762,0.0694,0.0985,-0.295,0.0694,0.0418,0.6617,0.0833,0.0448,0.8611,0.0056,0.003,0.8611,0.0333,0.0149,1.2333
ABE27047.1 ___nucleoprotein,0.0583,0.0597,-0.0229,0.0083,0.0,0.0,0.0417,0.0985,-0.577,0.05,0.1075,-0.5347,0.0444,0.0269,0.6543,0.0667,0.0269,1.4815,0.0389,0.0239,0.6285,0.0694,0.0478,0.454,0.0528,0.0358,0.4734,0.1306,0.0716,0.8223,0.0028,0.0119,-0.7674,0.0528,0.0478,0.105,0.0306,0.1015,-0.6989,0.0528,0.0836,-0.3686,0.0389,0.0537,-0.2762,0.0694,0.0985,-0.295,0.0694,0.0418,0.6617,0.0833,0.0448,0.8611,0.0056,0.003,0.8611,0.0333,0.0149,1.2333
ABE27054.1 ___nucleoprotein,0.0583,0.0597,-0.0229,0.0083,0.0,0.0,0.0417,0.0985,-0.577,0.05,0.1075,-0.5347,0.0444,0.0269,0.6543,0.0667,0.0269,1.4815,0.0389,0.0239,0.6285,0.0694,0.0478,0.454,0.0528,0.0358,0.4734,0.1306,0.0716,0.8223,0.0028,0.0119,-0.7674,0.0528,0.0478,0.105,0.0306,0.1015,-0.6989,0.0528,0.0836,-0.3686,0.0389,0.0537,-0.2762,0.0694,0.0985,-0.295,0.0694,0.0418,0.6617,0.0833,0.0448,0.8611,0.0056,0.003,0.8611,0.0333,0.0149,1.2333
ABE27061.1 ___nucleoprotein,0.0583,0.0597,-0.0229,0.0083,0.0,0.0,0.0417,0.0985,-0.577,0.05,0.1075,-0.5347,0.0444,0.0269,0.6543,0.0667,0.0269,1.4815,0.0389,0.0239,0.6285,0.0694,0.0478,0.454,0.0528,0.0358,0.4734,0.1306,0.0716,0.8223,0.0028,0.0119,-0.7674,0.0528,0.0478,0.105,0.0306,0.1015,-0.6989,0.0528,0.0836,-0.3686,0.0389,0.0537,-0.2762,0.0694,0.0985,-0.295,0.0694,0.0418,0.6617,0.0833,0.0448,0.8611,0.0056,0.003,0.8611,0.0333,0.0149,1.2333
ABE27068.1 ___nucleoprotein,0.0614,0.0623,-0.0148,0.0088,0.0,0.0,0.0409,0.0935,-0.5621,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.038,0.0255,0.4909,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0935,-0.6559,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.0992,-0.3217,0.0614,0.051,0.2042,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0322,0.017,0.8923
ABE27075.1 ___nucleoprotein,0.0598,0.0581,0.0291,0.0085,0.0,0.0,0.0427,0.0988,-0.5676,0.0427,0.1105,-0.6131,0.0456,0.0262,0.7423,0.0684,0.032,1.1383,0.0399,0.0233,0.7151,0.0684,0.0407,0.6801,0.0541,0.032,0.6928,0.1339,0.0698,0.9193,0.0028,0.0116,-0.755,0.0513,0.0465,0.1026,0.0313,0.0959,-0.6733,0.0513,0.0872,-0.412,0.0399,0.0523,-0.2377,0.0655,0.1047,-0.3739,0.0684,0.0465,0.4701,0.0883,0.0436,1.0255,0.0057,0.0029,0.9601,0.0313,0.0174,0.7968
ABE27082.1 ___nucleoprotein,0.0598,0.0581,0.0291,0.0085,0.0,0.0,0.0427,0.0988,-0.5676,0.0427,0.1105,-0.6131,0.0456,0.0262,0.7423,0.0684,0.032,1.1383,0.0399,0.0233,0.7151,0.0684,0.0407,0.6801,0.0541,0.0349,0.5518,0.1339,0.0698,0.9193,0.0028,0.0116,-0.755,0.0513,0.0465,0.1026,0.0313,0.0959,-0.6733,0.0513,0.0872,-0.412,0.0399,0.0494,-0.1929,0.0655,0.1047,-0.3739,0.0684,0.0465,0.4701,0.0883,0.0436,1.0255,0.0057,0.0029,0.9601,0.0313,0.0174,0.7968
ABE27089.1 ___nucleoprotein,0.0614,0.0595,0.0322,0.0088,0.0,0.0,0.0409,0.0963,-0.575,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.038,0.0255,0.4909,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0935,-0.6559,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.0992,-0.3217,0.0614,0.051,0.2042,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0322,0.017,0.8923
ABS17548.1 ___nucleoprotein,0.0616,0.0621,-0.0091,0.0088,0.0,0.0,0.0411,0.0932,-0.5596,0.044,0.1186,-0.6292,0.0469,0.0226,1.0762,0.0704,0.0254,1.7683,0.0381,0.0254,0.4995,0.0733,0.0339,1.1628,0.0528,0.0395,0.3347,0.1349,0.0763,0.7687,0.0029,0.0141,-0.7924,0.0528,0.0424,0.2457,0.0323,0.0932,-0.654,0.0499,0.0876,-0.4307,0.0411,0.048,-0.1451,0.0674,0.1017,-0.3368,0.0616,0.048,0.2824,0.085,0.0452,0.8816,0.0029,0.0056,-0.4809,0.0323,0.0169,0.9032
ABS17555.1 ___nucleoprotein,0.058,0.0631,-0.0801,0.0083,0.0,0.0,0.0414,0.0961,-0.5688,0.0497,0.1051,-0.5269,0.0442,0.027,0.6354,0.0663,0.027,1.453,0.0387,0.024,0.6098,0.0663,0.048,0.3798,0.0525,0.036,0.4565,0.1354,0.0661,1.0488,0.0028,0.012,-0.77,0.0525,0.0541,-0.029,0.0304,0.1021,-0.7024,0.0525,0.0901,-0.4174,0.0387,0.0511,-0.2424,0.0691,0.0961,-0.2813,0.0691,0.042,0.6427,0.0856,0.042,1.0369,0.0055,0.003,0.8398,0.0331,0.015,1.2077
ABX75364.1 ___nucleoprotein,0.0814,0.0607,0.3416,0.0076,0.0,0.0,0.0331,0.1329,-0.7512,0.0585,0.104,-0.4375,0.0636,0.0058,10.0051,0.0662,0.0434,0.526,0.0433,0.0405,0.0691,0.0458,0.0318,0.4407,0.056,0.0491,0.1394,0.1247,0.0491,1.5376,0.0356,0.0173,1.0543,0.0407,0.0434,-0.0609,0.028,0.0954,-0.7065,0.0585,0.0867,-0.325,0.0458,0.0405,0.132,0.0483,0.0809,-0.4026,0.0331,0.0723,-0.5422,0.084,0.026,2.2282,0.0076,0.0029,1.6412,0.0382,0.0173,1.201
ACD13002.1 ___nucleoprotein,0.0614,0.0623,-0.0148,0.0088,0.0,0.0,0.0409,0.0935,-0.5621,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.0409,0.0255,0.6056,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0935,-0.6559,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.0992,-0.3217,0.0614,0.051,0.2042,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0292,0.017,0.7203
ACD13009.1 ___nucleoprotein,0.0614,0.0623,-0.0148,0.0088,0.0,0.0,0.0409,0.0935,-0.5621,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.038,0.0255,0.4909,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0935,-0.6559,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.0992,-0.3217,0.0614,0.051,0.2042,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0322,0.017,0.8923
ACD13016.1 ___nucleoprotein,0.0614,0.0623,-0.0148,0.0088,0.0,0.0,0.0409,0.0935,-0.5621,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.038,0.0255,0.4909,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0935,-0.6559,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.0992,-0.3217,0.0614,0.051,0.2042,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0322,0.017,0.8923
ACI28620.1 ___nucleoprotein,0.0842,0.0866,-0.0278,0.0074,0.0,0.0,0.0322,0.1313,-0.755,0.0545,0.1015,-0.4635,0.0569,0.006,8.5359,0.0644,0.0328,0.9599,0.047,0.0179,1.6258,0.0644,0.0358,0.7966,0.0446,0.0567,-0.2144,0.1114,0.0507,1.195,0.0396,0.0119,2.3168,0.0396,0.0806,-0.5086,0.0223,0.0925,-0.7593,0.0693,0.0687,0.0095,0.0347,0.0507,-0.3171,0.0569,0.0716,-0.2053,0.0495,0.0627,-0.2103,0.0718,0.0239,2.0059,0.0074,0.003,1.4876,0.0421,0.0149,1.8193
ACT22784.1 ___nucleoprotein,0.0879,0.0723,0.2151,0.0071,0.0,0.0,0.0499,0.1258,-0.6034,0.0523,0.1164,-0.5509,0.0523,0.0094,4.5392,0.0641,0.0409,0.5688,0.0428,0.0283,0.5107,0.0499,0.044,0.133,0.0451,0.0314,0.4352,0.1283,0.0629,1.0394,0.0285,0.0063,3.5321,0.0523,0.0597,-0.1254,0.0285,0.0881,-0.6763,0.0618,0.0786,-0.2144,0.038,0.0786,-0.5166,0.0404,0.0849,-0.5244,0.0428,0.044,-0.0288,0.0713,0.0126,4.6651,0.0095,0.0,0.0,0.0475,0.0157,2.0214
ACT22792.1 ___nucleoprotein,0.0892,0.0703,0.2691,0.007,0.0,0.0,0.0469,0.1182,-0.6028,0.0563,0.115,-0.5102,0.054,0.0128,3.2248,0.0634,0.0351,0.8035,0.0423,0.0351,0.2023,0.0516,0.0351,0.4695,0.0469,0.0319,0.4695,0.1244,0.0671,0.8543,0.0282,0.0096,1.939,0.0493,0.0639,-0.2285,0.0258,0.0863,-0.7007,0.0634,0.0735,-0.1375,0.0352,0.0831,-0.5761,0.0423,0.0895,-0.5277,0.0446,0.0415,0.0739,0.0728,0.016,3.5554,0.0094,0.0,0.0,0.0469,0.016,1.939
ACT22807.1 ___nucleoprotein,0.0881,0.0721,0.2218,0.0071,0.0,0.0,0.05,0.1254,-0.6012,0.0548,0.1191,-0.5403,0.0524,0.0094,4.5698,0.0619,0.0345,0.7952,0.0429,0.0313,0.3671,0.0524,0.0408,0.2853,0.0452,0.0376,0.2026,0.1286,0.0627,1.0507,0.0262,0.0063,3.1774,0.0524,0.0596,-0.1206,0.0286,0.0878,-0.6745,0.0619,0.0815,-0.2405,0.0381,0.0721,-0.4716,0.0405,0.0878,-0.5389,0.0405,0.047,-0.1392,0.0714,0.0125,4.6964,0.0095,0.0,0.0,0.0476,0.0125,2.7976
ACT79198.1 ___nucleoprotein,0.0614,0.0623,-0.0148,0.0088,0.0,0.0,0.0409,0.0935,-0.5621,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.038,0.0255,0.4909,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0907,-0.6452,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.102,-0.3406,0.0614,0.051,0.2042,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0322,0.017,0.8923
ACT79205.1 ___nucleoprotein,0.0614,0.0623,-0.0148,0.0088,0.0,0.0,0.0409,0.0935,-0.5621,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.038,0.0255,0.4909,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0907,-0.6452,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.102,-0.3406,0.0614,0.051,0.2042,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0322,0.017,0.8923
ACT79212.1 ___nucleoprotein,0.0614,0.0623,-0.0148,0.0088,0.0,0.0,0.0409,0.0935,-0.5621,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.038,0.0255,0.4909,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0907,-0.6452,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.102,-0.3406,0.0614,0.051,0.2042,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0322,0.017,0.8923
ACT79219.1 ___nucleoprotein,0.0614,0.0595,0.0322,0.0088,0.0,0.0,0.0409,0.0935,-0.5621,0.0439,0.119,-0.6314,0.0468,0.0227,1.0643,0.0702,0.0255,1.7524,0.038,0.0255,0.4909,0.0731,0.034,1.1503,0.0526,0.0397,0.3271,0.1345,0.0765,0.7585,0.0029,0.0142,-0.7936,0.0526,0.0425,0.2386,0.0322,0.0935,-0.6559,0.0497,0.0878,-0.434,0.0409,0.0482,-0.15,0.0673,0.0992,-0.3217,0.0614,0.0538,0.1408,0.0877,0.0425,1.0643,0.0029,0.0057,-0.4839,0.0322,0.017,0.8923
ACT79226.1 ___nucleoprotein,0.0598,0.061,-0.0199,0.0085,0.0,0.0,0.0427,0.0988,-0.5676,0.0427,0.1105,-0.6131,0.0456,0.0262,0.7423,0.0684,0.032,1.1383,0.0399,0.0233,0.7151,0.0684,0.0407,0.6801,0.0541,0.0349,0.5518,0.1339,0.0698,0.9193,0.0028,0.0116,-0.755,0.0513,0.0465,0.1026,0.0313,0.0959,-0.6733,0.0513,0.0872,-0.412,0.0399,0.0494,-0.1929,0.0655,0.1047,-0.3739,0.0684,0.0436,0.5681,0.0883,0.0436,1.0255,0.0057,0.0029,0.9601,0.0313,0.0174,0.7968
ACT79233.1 ___nucleoprotein,0.0598,0.061,-0.0199,0.0085,0.0,0.0,0.0427,0.0988,-0.5676,0.0427,0.1105,-0.6131,0.0456,0.0262,0.7423,0.0684,0.032,1.1383,0.0399,0.0233,0.7151,0.0684,0.0407,0.6801,0.0541,0.0349,0.5518,0.1339,0.0698,0.9193,0.0028,0.0116,-0.755,0.0513,0.0465,0.1026,0.0313,0.0959,-0.6733,0.0513,0.0872,-0.412,0.0399,0.0494,-0.1929,0.0655,0.1047,-0.3739,0.0684,0.0436,0.5681,0.0883,0.0436,1.0255,0.0057,0.0029,0.9601,0.0313,0.0174,0.7968
ACT79240.1 ___nucleoprotein,0.0598,0.061,-0.0199,0.0085,0.0,0.0,0.0427,0.0988,-0.5676,0.0427,0.1105,-0.6131,0.0456,0.0262,0.7423,0.0684,0.032,1.1383,0.0399,0.0233,0.7151,0.0684,0.0407,0.6801,0.0541,0.0349,0.5518,0.1339,0.0698,0.9193,0.0028,0.0116,-0.755,0.0513,0.0465,0.1026,0.0313,0.0959,-0.6733,0.0513,0.0872,-0.412,0.0399,0.0494,-0.1929,0.0655,0.1047,-0.3739,0.0684,0.0436,0.5681,0.0883,0.0436,1.0255,0.0057,0.0029,0.9601,0.0313,0.0174,0.7968
