Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAQ55045.1 ___nucleoprotein,0.0823,0.0077,0.0334,0.054,0.0591,0.0668,0.0437,0.0463,0.0566,0.126,0.036,0.0411,0.0283,0.0591,0.0463,0.0488,0.0334,0.0848,0.0077,0.0386,uređen
AAQ55045.1 ___nucleoprotein,0.0571,0.0,0.1314,0.1086,0.0086,0.0429,0.0371,0.0229,0.0429,0.0514,0.0171,0.0486,0.0914,0.0857,0.0457,0.08,0.08,0.0286,0.0029,0.0171,neuređen
AAV48574.1 ___nucleoprotein,0.0869,0.007,0.0493,0.0563,0.0516,0.061,0.0423,0.0516,0.0469,0.1244,0.0282,0.0493,0.0282,0.0587,0.0399,0.0423,0.0446,0.0728,0.0117,0.0469,uređen
AAV48574.1 ___nucleoprotein,0.0735,0.0,0.1214,0.1118,0.0064,0.0511,0.0319,0.0319,0.0351,0.0639,0.0096,0.0607,0.0895,0.0831,0.0703,0.0863,0.0447,0.0128,0.0032,0.0128,neuređen
ABA87124.1 ___nucleoprotein,0.0593,0.0085,0.0424,0.048,0.0452,0.0678,0.0395,0.0706,0.0537,0.1328,0.0028,0.0537,0.0282,0.0508,0.0367,0.0678,0.0706,0.0847,0.0028,0.0339,uređen
ABA87124.1 ___nucleoprotein,0.0587,0.0,0.0997,0.1085,0.0264,0.0293,0.0235,0.0411,0.0352,0.0704,0.0176,0.0528,0.1056,0.088,0.0557,0.088,0.0411,0.0411,0.0059,0.0117,neuređen
ABE27012.1 ___nucleoprotein,0.0583,0.0083,0.0417,0.05,0.0444,0.0667,0.0389,0.0694,0.0528,0.1306,0.0028,0.0528,0.0306,0.0528,0.0389,0.0694,0.0694,0.0833,0.0056,0.0333,uređen
ABE27012.1 ___nucleoprotein,0.0597,0.0,0.0985,0.1075,0.0269,0.0269,0.0239,0.0478,0.0358,0.0716,0.0119,0.0478,0.1015,0.0836,0.0537,0.0985,0.0418,0.0448,0.003,0.0149,neuređen
ABE27019.1 ___nucleoprotein,0.0583,0.0083,0.0417,0.05,0.0444,0.0667,0.0389,0.0694,0.0528,0.1306,0.0028,0.0528,0.0306,0.0528,0.0389,0.0694,0.0694,0.0833,0.0056,0.0333,uređen
ABE27019.1 ___nucleoprotein,0.0597,0.0,0.0985,0.1075,0.0269,0.0269,0.0239,0.0478,0.0358,0.0716,0.0119,0.0478,0.1015,0.0836,0.0537,0.0985,0.0418,0.0448,0.003,0.0149,neuređen
ABE27026.1 ___nucleoprotein,0.0583,0.0083,0.0417,0.05,0.0444,0.0667,0.0389,0.0694,0.0528,0.1306,0.0028,0.0528,0.0306,0.0528,0.0389,0.0694,0.0694,0.0833,0.0056,0.0333,uređen
ABE27026.1 ___nucleoprotein,0.0597,0.0,0.0985,0.1075,0.0269,0.0269,0.0239,0.0478,0.0358,0.0716,0.0119,0.0478,0.1015,0.0836,0.0537,0.0985,0.0418,0.0448,0.003,0.0149,neuređen
ABE27033.1 ___nucleoprotein,0.0583,0.0083,0.0417,0.05,0.0444,0.0667,0.0389,0.0694,0.0528,0.1306,0.0028,0.0528,0.0306,0.0528,0.0389,0.0694,0.0694,0.0833,0.0056,0.0333,uređen
ABE27033.1 ___nucleoprotein,0.0597,0.0,0.0985,0.1075,0.0269,0.0269,0.0239,0.0478,0.0358,0.0716,0.0119,0.0478,0.1015,0.0836,0.0537,0.0985,0.0418,0.0448,0.003,0.0149,neuređen
ABE27040.1 ___nucleoprotein,0.0583,0.0083,0.0417,0.05,0.0444,0.0667,0.0389,0.0694,0.0528,0.1306,0.0028,0.0528,0.0306,0.0528,0.0389,0.0694,0.0694,0.0833,0.0056,0.0333,uređen
ABE27040.1 ___nucleoprotein,0.0597,0.0,0.0985,0.1075,0.0269,0.0269,0.0239,0.0478,0.0358,0.0746,0.0119,0.0478,0.1015,0.0806,0.0537,0.0985,0.0418,0.0448,0.003,0.0149,neuređen
ABE27047.1 ___nucleoprotein,0.0583,0.0083,0.0417,0.05,0.0444,0.0667,0.0389,0.0694,0.0528,0.1306,0.0028,0.0528,0.0306,0.0528,0.0389,0.0694,0.0694,0.0833,0.0056,0.0333,uređen
ABE27047.1 ___nucleoprotein,0.0597,0.0,0.0985,0.1075,0.0269,0.0269,0.0239,0.0478,0.0358,0.0716,0.0119,0.0478,0.1015,0.0836,0.0537,0.0985,0.0418,0.0448,0.003,0.0149,neuređen
ABE27054.1 ___nucleoprotein,0.0583,0.0083,0.0417,0.05,0.0444,0.0667,0.0389,0.0694,0.0528,0.1306,0.0028,0.0528,0.0306,0.0528,0.0389,0.0694,0.0694,0.0833,0.0056,0.0333,uređen
ABE27054.1 ___nucleoprotein,0.0597,0.0,0.0985,0.1075,0.0269,0.0269,0.0239,0.0478,0.0358,0.0716,0.0119,0.0478,0.1015,0.0836,0.0537,0.0985,0.0418,0.0448,0.003,0.0149,neuređen
ABE27061.1 ___nucleoprotein,0.0583,0.0083,0.0417,0.05,0.0444,0.0667,0.0389,0.0694,0.0528,0.1306,0.0028,0.0528,0.0306,0.0528,0.0389,0.0694,0.0694,0.0833,0.0056,0.0333,uređen
ABE27061.1 ___nucleoprotein,0.0597,0.0,0.0985,0.1075,0.0269,0.0269,0.0239,0.0478,0.0358,0.0716,0.0119,0.0478,0.1015,0.0836,0.0537,0.0985,0.0418,0.0448,0.003,0.0149,neuređen
ABE27068.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.038,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0322,uređen
ABE27068.1 ___nucleoprotein,0.0623,0.0,0.0935,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0935,0.0878,0.0482,0.0992,0.051,0.0425,0.0057,0.017,neuređen
ABE27075.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
ABE27075.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.032,0.0698,0.0116,0.0465,0.0959,0.0872,0.0523,0.1047,0.0465,0.0436,0.0029,0.0174,neuređen
ABE27082.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
ABE27082.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.0349,0.0698,0.0116,0.0465,0.0959,0.0872,0.0494,0.1047,0.0465,0.0436,0.0029,0.0174,neuređen
ABE27089.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.038,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0322,uređen
ABE27089.1 ___nucleoprotein,0.0595,0.0,0.0963,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0935,0.0878,0.0482,0.0992,0.051,0.0425,0.0057,0.017,neuređen
ABS17548.1 ___nucleoprotein,0.0616,0.0088,0.0411,0.044,0.0469,0.0704,0.0381,0.0733,0.0528,0.1349,0.0029,0.0528,0.0323,0.0499,0.0411,0.0674,0.0616,0.085,0.0029,0.0323,uređen
ABS17548.1 ___nucleoprotein,0.0621,0.0,0.0932,0.1186,0.0226,0.0254,0.0254,0.0339,0.0395,0.0763,0.0141,0.0424,0.0932,0.0876,0.048,0.1017,0.048,0.0452,0.0056,0.0169,neuređen
ABS17555.1 ___nucleoprotein,0.058,0.0083,0.0414,0.0497,0.0442,0.0663,0.0387,0.0663,0.0525,0.1354,0.0028,0.0525,0.0304,0.0525,0.0387,0.0691,0.0691,0.0856,0.0055,0.0331,uređen
ABS17555.1 ___nucleoprotein,0.0631,0.0,0.0961,0.1051,0.027,0.027,0.024,0.048,0.036,0.0661,0.012,0.0541,0.1021,0.0901,0.0511,0.0961,0.042,0.042,0.003,0.015,neuređen
ABX75364.1 ___nucleoprotein,0.0814,0.0076,0.0331,0.0585,0.0636,0.0662,0.0433,0.0458,0.056,0.1247,0.0356,0.0407,0.028,0.0585,0.0458,0.0483,0.0331,0.084,0.0076,0.0382,uređen
ABX75364.1 ___nucleoprotein,0.0607,0.0,0.1329,0.104,0.0058,0.0434,0.0405,0.0318,0.0491,0.0491,0.0173,0.0434,0.0954,0.0867,0.0405,0.0809,0.0723,0.026,0.0029,0.0173,neuređen
ACD13002.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.0409,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0292,uređen
ACD13002.1 ___nucleoprotein,0.0623,0.0,0.0935,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0935,0.0878,0.0482,0.0992,0.051,0.0425,0.0057,0.017,neuređen
ACD13009.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.038,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0322,uređen
ACD13009.1 ___nucleoprotein,0.0623,0.0,0.0935,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0935,0.0878,0.0482,0.0992,0.051,0.0425,0.0057,0.017,neuređen
ACD13016.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.038,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0322,uređen
ACD13016.1 ___nucleoprotein,0.0623,0.0,0.0935,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0935,0.0878,0.0482,0.0992,0.051,0.0425,0.0057,0.017,neuređen
ACI28620.1 ___nucleoprotein,0.0842,0.0074,0.0322,0.0545,0.0569,0.0644,0.047,0.0644,0.0446,0.1114,0.0396,0.0396,0.0223,0.0693,0.0347,0.0569,0.0495,0.0718,0.0074,0.0421,uređen
ACI28620.1 ___nucleoprotein,0.0866,0.0,0.1313,0.1015,0.006,0.0328,0.0179,0.0358,0.0567,0.0507,0.0119,0.0806,0.0925,0.0687,0.0507,0.0716,0.0627,0.0239,0.003,0.0149,neuređen
ACT22784.1 ___nucleoprotein,0.0879,0.0071,0.0499,0.0523,0.0523,0.0641,0.0428,0.0499,0.0451,0.1283,0.0285,0.0523,0.0285,0.0618,0.038,0.0404,0.0428,0.0713,0.0095,0.0475,uređen
ACT22784.1 ___nucleoprotein,0.0723,0.0,0.1258,0.1164,0.0094,0.0409,0.0283,0.044,0.0314,0.0629,0.0063,0.0597,0.0881,0.0786,0.0786,0.0849,0.044,0.0126,0.0,0.0157,neuređen
ACT22792.1 ___nucleoprotein,0.0892,0.007,0.0469,0.0563,0.054,0.0634,0.0423,0.0516,0.0469,0.1244,0.0282,0.0493,0.0258,0.0634,0.0352,0.0423,0.0446,0.0728,0.0094,0.0469,uređen
ACT22792.1 ___nucleoprotein,0.0703,0.0,0.1182,0.115,0.0128,0.0351,0.0351,0.0351,0.0319,0.0671,0.0096,0.0639,0.0863,0.0735,0.0831,0.0895,0.0415,0.016,0.0,0.016,neuređen
ACT22807.1 ___nucleoprotein,0.0881,0.0071,0.05,0.0548,0.0524,0.0619,0.0429,0.0524,0.0452,0.1286,0.0262,0.0524,0.0286,0.0619,0.0381,0.0405,0.0405,0.0714,0.0095,0.0476,uređen
ACT22807.1 ___nucleoprotein,0.0721,0.0,0.1254,0.1191,0.0094,0.0345,0.0313,0.0408,0.0376,0.0627,0.0063,0.0596,0.0878,0.0815,0.0721,0.0878,0.047,0.0125,0.0,0.0125,neuređen
ACT79198.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.038,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0322,uređen
ACT79198.1 ___nucleoprotein,0.0623,0.0,0.0935,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0907,0.0878,0.0482,0.102,0.051,0.0425,0.0057,0.017,neuređen
ACT79205.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.038,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0322,uređen
ACT79205.1 ___nucleoprotein,0.0623,0.0,0.0935,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0907,0.0878,0.0482,0.102,0.051,0.0425,0.0057,0.017,neuređen
ACT79212.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.038,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0322,uređen
ACT79212.1 ___nucleoprotein,0.0623,0.0,0.0935,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0907,0.0878,0.0482,0.102,0.051,0.0425,0.0057,0.017,neuređen
ACT79219.1 ___nucleoprotein,0.0614,0.0088,0.0409,0.0439,0.0468,0.0702,0.038,0.0731,0.0526,0.1345,0.0029,0.0526,0.0322,0.0497,0.0409,0.0673,0.0614,0.0877,0.0029,0.0322,uređen
ACT79219.1 ___nucleoprotein,0.0595,0.0,0.0935,0.119,0.0227,0.0255,0.0255,0.034,0.0397,0.0765,0.0142,0.0425,0.0935,0.0878,0.0482,0.0992,0.0538,0.0425,0.0057,0.017,neuređen
ACT79226.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
ACT79226.1 ___nucleoprotein,0.061,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.0349,0.0698,0.0116,0.0465,0.0959,0.0872,0.0494,0.1047,0.0436,0.0436,0.0029,0.0174,neuređen
ACT79233.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
ACT79233.1 ___nucleoprotein,0.061,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.0349,0.0698,0.0116,0.0465,0.0959,0.0872,0.0494,0.1047,0.0436,0.0436,0.0029,0.0174,neuređen
ACT79240.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
ACT79240.1 ___nucleoprotein,0.061,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.0349,0.0698,0.0116,0.0465,0.0959,0.0872,0.0494,0.1047,0.0436,0.0436,0.0029,0.0174,neuređen
ADM72988.1 ___nucleoprotein,0.058,0.0083,0.0414,0.0497,0.0442,0.0663,0.0387,0.0663,0.0525,0.1354,0.0028,0.0525,0.0304,0.0525,0.0387,0.0691,0.0691,0.0856,0.0055,0.0331,uređen
ADM72988.1 ___nucleoprotein,0.0631,0.0,0.0961,0.1021,0.027,0.027,0.027,0.048,0.039,0.0661,0.012,0.0541,0.1021,0.0901,0.0511,0.0961,0.042,0.042,0.003,0.012,neuređen
AER59705.1 ___nucleoprotein,0.0823,0.0077,0.0334,0.054,0.0591,0.0668,0.0437,0.0463,0.0566,0.126,0.036,0.0411,0.0257,0.0617,0.0463,0.0488,0.0334,0.0848,0.0077,0.0386,uređen
AER59705.1 ___nucleoprotein,0.0571,0.0,0.1314,0.1114,0.0086,0.04,0.0343,0.0229,0.0486,0.0514,0.0171,0.0486,0.0914,0.0857,0.0429,0.08,0.08,0.0286,0.0029,0.0171,neuređen
AER59714.1 ___nucleoprotein,0.0823,0.0077,0.0334,0.054,0.0591,0.0668,0.0437,0.0463,0.0566,0.126,0.036,0.0411,0.0257,0.0617,0.0463,0.0488,0.0334,0.0848,0.0077,0.0386,uređen
AER59714.1 ___nucleoprotein,0.0571,0.0,0.1314,0.1114,0.0086,0.04,0.0343,0.0229,0.0486,0.0514,0.0171,0.0486,0.0914,0.0857,0.0429,0.08,0.08,0.0286,0.0029,0.0171,neuređen
AEW11935.1 ___nucleoprotein,0.058,0.0083,0.0414,0.0497,0.0442,0.0663,0.0387,0.0691,0.0525,0.1354,0.0028,0.0525,0.0304,0.0525,0.0387,0.0691,0.0691,0.0829,0.0055,0.0331,uređen
AEW11935.1 ___nucleoprotein,0.0601,0.0,0.0931,0.1081,0.027,0.027,0.024,0.048,0.036,0.0661,0.012,0.0571,0.1021,0.0901,0.0511,0.0931,0.045,0.042,0.003,0.015,neuređen
AFV31137.1 ___nucleoprotein,0.0593,0.0085,0.0424,0.0424,0.0452,0.0678,0.0395,0.0678,0.0537,0.1384,0.0028,0.0508,0.0311,0.0508,0.0395,0.0678,0.0678,0.0876,0.0056,0.0311,uređen
AFV31137.1 ___nucleoprotein,0.0587,0.0,0.1026,0.1114,0.0264,0.0323,0.0264,0.044,0.0352,0.0645,0.0117,0.044,0.0968,0.085,0.0499,0.1026,0.0469,0.0411,0.0029,0.0176,neuređen
AFV31150.1 ___nucleoprotein,0.0593,0.0085,0.0424,0.0424,0.0452,0.0678,0.0395,0.0678,0.0537,0.1384,0.0028,0.0508,0.0311,0.0508,0.0395,0.0678,0.0678,0.0876,0.0056,0.0311,uređen
AFV31150.1 ___nucleoprotein,0.0587,0.0,0.1026,0.1114,0.0264,0.0323,0.0264,0.044,0.0352,0.0645,0.0117,0.044,0.0968,0.085,0.0499,0.1026,0.0469,0.0411,0.0029,0.0176,neuređen
AFV31157.1 ___nucleoprotein,0.0593,0.0085,0.0424,0.0424,0.0452,0.0678,0.0395,0.0678,0.0537,0.1384,0.0028,0.0508,0.0311,0.0508,0.0395,0.0678,0.0678,0.0876,0.0056,0.0311,uređen
AFV31157.1 ___nucleoprotein,0.0587,0.0,0.1026,0.1114,0.0264,0.0323,0.0264,0.044,0.0352,0.0645,0.0117,0.044,0.0968,0.085,0.0499,0.1026,0.0469,0.0411,0.0029,0.0176,neuređen
AFV31164.1 ___nucleoprotein,0.0593,0.0085,0.0424,0.0424,0.0452,0.0678,0.0395,0.0678,0.0537,0.1384,0.0028,0.0508,0.0311,0.0508,0.0395,0.0678,0.0678,0.0876,0.0056,0.0311,uređen
AFV31164.1 ___nucleoprotein,0.0587,0.0,0.1026,0.1114,0.0264,0.0323,0.0264,0.044,0.0352,0.0645,0.0117,0.044,0.0997,0.085,0.0499,0.0997,0.0469,0.0411,0.0029,0.0176,neuređen
AFV31171.1 ___nucleoprotein,0.0593,0.0085,0.0424,0.0424,0.0452,0.0678,0.0395,0.0678,0.0537,0.1384,0.0028,0.0508,0.0311,0.0508,0.0395,0.0678,0.0678,0.0876,0.0056,0.0311,uređen
AFV31171.1 ___nucleoprotein,0.0587,0.0,0.1026,0.1114,0.0264,0.0323,0.0264,0.044,0.0352,0.0645,0.0117,0.044,0.0968,0.085,0.0499,0.1026,0.0469,0.0411,0.0029,0.0176,neuređen
AFV31178.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
AFV31178.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.032,0.0698,0.0116,0.0465,0.0959,0.0872,0.0523,0.1047,0.0465,0.0436,0.0029,0.0174,neuređen
AFV31185.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
AFV31185.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.032,0.0698,0.0116,0.0465,0.0959,0.0843,0.0552,0.1047,0.0465,0.0436,0.0029,0.0174,neuređen
AFV31192.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
AFV31192.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.032,0.0698,0.0116,0.0465,0.0959,0.0872,0.0552,0.1017,0.0465,0.0436,0.0029,0.0174,neuređen
AFV31199.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
AFV31199.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.0349,0.0698,0.0116,0.0465,0.0959,0.0843,0.0523,0.1047,0.0465,0.0436,0.0029,0.0174,neuređen
AFV31206.1 ___nucleoprotein,0.0595,0.0085,0.0425,0.0425,0.0453,0.068,0.0397,0.068,0.0538,0.136,0.0028,0.051,0.0312,0.051,0.0397,0.068,0.068,0.0878,0.0057,0.0312,uređen
AFV31206.1 ___nucleoprotein,0.0556,0.0,0.0994,0.1111,0.0263,0.0322,0.0234,0.0409,0.0351,0.0673,0.0117,0.0468,0.0965,0.0877,0.0497,0.1023,0.0468,0.0468,0.0029,0.0175,neuređen
AFV31213.1 ___nucleoprotein,0.0595,0.0085,0.0425,0.0425,0.0453,0.068,0.0397,0.068,0.0538,0.136,0.0028,0.051,0.0312,0.051,0.0397,0.068,0.068,0.0878,0.0057,0.0312,uređen
AFV31213.1 ___nucleoprotein,0.0556,0.0,0.0994,0.1111,0.0263,0.0322,0.0234,0.0409,0.0351,0.0673,0.0117,0.0468,0.0965,0.0877,0.0497,0.1023,0.0468,0.0468,0.0029,0.0175,neuređen
AFV31220.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
AFV31220.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.0349,0.0698,0.0116,0.0465,0.0959,0.0872,0.0494,0.1047,0.0465,0.0436,0.0029,0.0174,neuređen
AFV31227.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
AFV31227.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.0349,0.0698,0.0116,0.0465,0.0959,0.0872,0.0494,0.1047,0.0465,0.0436,0.0029,0.0174,neuređen
AFV31234.1 ___nucleoprotein,0.0598,0.0085,0.0427,0.0427,0.0456,0.0684,0.0399,0.0684,0.0541,0.1339,0.0028,0.0513,0.0313,0.0513,0.0399,0.0655,0.0684,0.0883,0.0057,0.0313,uređen
AFV31234.1 ___nucleoprotein,0.0581,0.0,0.0988,0.1105,0.0262,0.032,0.0233,0.0407,0.0349,0.0698,0.0116,0.0465,0.0959,0.0872,0.0494,0.1047,0.0465,0.0436,0.0029,0.0174,neuređen
