Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AGB56686.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56686.1 ___virion spike glycoprotein precursor,0.0955,0,0.0553,0.0653,0.0101,0.0452,0.0503,0.0101,0.0402,0.0352,0.0101,0.0704,0.0854,0.0352,0.0302,0.1508,0.1558,0.0452,0,0.0101,neuređen
AGB56695.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56695.1 ___virion spike glycoprotein precursor,0.0955,0,0.0553,0.0653,0.0101,0.0452,0.0503,0.0101,0.0402,0.0352,0.0101,0.0704,0.0854,0.0352,0.0302,0.1508,0.1558,0.0452,0,0.0101,neuređen
AGB56704.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56704.1 ___virion spike glycoprotein precursor,0.0955,0,0.0553,0.0653,0.0101,0.0452,0.0503,0.0101,0.0402,0.0352,0.0101,0.0704,0.0854,0.0352,0.0302,0.1508,0.1558,0.0452,0,0.0101,neuređen
AGB56713.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56713.1 ___virion spike glycoprotein precursor,0.0955,0,0.0553,0.0653,0.0101,0.0452,0.0503,0.0101,0.0402,0.0352,0.0101,0.0704,0.0854,0.0352,0.0302,0.1508,0.1558,0.0452,0,0.0101,neuređen
AGB56722.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56722.1 ___virion spike glycoprotein precursor,0.0955,0,0.0553,0.0653,0.0101,0.0452,0.0503,0.0101,0.0402,0.0352,0.0101,0.0704,0.0854,0.0352,0.0302,0.1508,0.1558,0.0452,0,0.0101,neuređen
AGB56731.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56731.1 ___virion spike glycoprotein precursor,0.0955,0,0.0553,0.0653,0.0101,0.0452,0.0503,0.0101,0.0402,0.0352,0.0101,0.0704,0.0854,0.0352,0.0302,0.1508,0.1558,0.0452,0,0.0101,neuređen
AGB56740.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56740.1 ___virion spike glycoprotein precursor,0.0955,0,0.0553,0.0653,0.0101,0.0452,0.0503,0.0101,0.0402,0.0352,0.0101,0.0704,0.0854,0.0352,0.0302,0.1508,0.1558,0.0452,0,0.0101,neuređen
AGB56749.1 ___virion spike glycoprotein precursor,0.0638,0.0247,0.0494,0.0514,0.0576,0.0885,0.0165,0.0761,0.0473,0.0926,0.0021,0.0473,0.0432,0.0391,0.0576,0.0391,0.0905,0.0556,0.0288,0.0288,uređen
AGB56749.1 ___virion spike glycoprotein precursor,0.0895,0,0.0579,0.0579,0.0105,0.0526,0.0526,0.0211,0.0368,0.0316,0.0158,0.0737,0.0737,0.0421,0.0263,0.1526,0.1579,0.0421,0,0.0053,neuređen
AGB56758.1 ___virion spike glycoprotein precursor,0.065,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0901,0.0545,0.0294,0.0294,uređen
AGB56758.1 ___virion spike glycoprotein precursor,0.0905,0,0.0503,0.0653,0.0101,0.0503,0.0503,0.0251,0.0352,0.0452,0.0151,0.0704,0.0754,0.0352,0.0402,0.1407,0.1558,0.0402,0,0.005,neuređen
AGB56767.1 ___virion spike glycoprotein precursor,0.065,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0901,0.0545,0.0294,0.0294,uređen
AGB56767.1 ___virion spike glycoprotein precursor,0.0905,0,0.0503,0.0653,0.0101,0.0503,0.0503,0.0201,0.0352,0.0452,0.0151,0.0704,0.0754,0.0402,0.0352,0.1407,0.1608,0.0402,0,0.005,neuređen
AGB56776.1 ___virion spike glycoprotein precursor,0.065,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0503,0.0922,0.0021,0.0482,0.044,0.0398,0.0545,0.0356,0.0901,0.0545,0.0294,0.0294,uređen
AGB56776.1 ___virion spike glycoprotein precursor,0.0854,0,0.0503,0.0653,0.0101,0.0503,0.0503,0.0201,0.0352,0.0402,0.0151,0.0704,0.0804,0.0402,0.0352,0.1407,0.1658,0.0402,0,0.005,neuređen
AGB56785.1 ___virion spike glycoprotein precursor,0.065,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0901,0.0545,0.0294,0.0294,uređen
AGB56785.1 ___virion spike glycoprotein precursor,0.0905,0,0.0503,0.0653,0.0101,0.0503,0.0503,0.0201,0.0352,0.0452,0.0151,0.0704,0.0754,0.0402,0.0352,0.1407,0.1608,0.0402,0,0.005,neuređen
AGB56794.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56794.1 ___virion spike glycoprotein precursor,0.0905,0,0.0553,0.0653,0.0101,0.0503,0.0503,0.0201,0.0352,0.0402,0.0151,0.0704,0.0804,0.0402,0.0352,0.1407,0.1558,0.0402,0,0.005,neuređen
AGB56803.1 ___virion spike glycoprotein precursor,0.065,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0901,0.0545,0.0294,0.0294,uređen
AGB56803.1 ___virion spike glycoprotein precursor,0.0905,0,0.0503,0.0653,0.0101,0.0503,0.0503,0.0201,0.0352,0.0452,0.0151,0.0704,0.0754,0.0402,0.0352,0.1407,0.1608,0.0402,0,0.005,neuređen
AGB56812.1 ___virion spike glycoprotein precursor,0.065,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0503,0.0922,0.0021,0.0482,0.044,0.0398,0.0545,0.0356,0.0901,0.0545,0.0294,0.0294,uređen
AGB56812.1 ___virion spike glycoprotein precursor,0.0854,0,0.0503,0.0653,0.0101,0.0503,0.0503,0.0201,0.0352,0.0402,0.0151,0.0704,0.0804,0.0402,0.0352,0.1407,0.1658,0.0402,0,0.005,neuređen
AGB56821.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0503,0.0482,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AGB56821.1 ___virion spike glycoprotein precursor,0.0905,0,0.0553,0.0653,0.0101,0.0503,0.0503,0.0201,0.0352,0.0402,0.0151,0.0704,0.0804,0.0402,0.0352,0.1407,0.1558,0.0402,0,0.005,neuređen
AGB56830.1 ___virion spike glycoprotein precursor,0.0702,0.0248,0.0496,0.0475,0.0558,0.0888,0.0186,0.0785,0.0475,0.095,0.0021,0.0475,0.0434,0.0393,0.0558,0.0372,0.0868,0.0537,0.0289,0.0289,uređen
AGB56830.1 ___virion spike glycoprotein precursor,0.0938,0,0.0625,0.0729,0.0104,0.0521,0.0417,0.0312,0.0365,0.0208,0.0156,0.0677,0.0781,0.0469,0.0312,0.1458,0.1406,0.0365,0,0.0156,neuređen
AGB56839.1 ___virion spike glycoprotein precursor,0.0638,0.0247,0.0494,0.0514,0.0576,0.0885,0.0165,0.0761,0.0473,0.0926,0.0021,0.0473,0.0432,0.0391,0.0576,0.0391,0.0905,0.0556,0.0288,0.0288,uređen
AGB56839.1 ___virion spike glycoprotein precursor,0.0895,0,0.0579,0.0579,0.0105,0.0526,0.0526,0.0211,0.0368,0.0316,0.0158,0.0737,0.0737,0.0421,0.0263,0.1526,0.1579,0.0421,0,0.0053,neuređen
AGN52936.1 ___spike glycoprotein,0.0672,0.0328,0.0493,0.0328,0.0555,0.0696,0.0141,0.0571,0.0367,0.0923,0.0141,0.0602,0.0438,0.0539,0.0289,0.0891,0.0672,0.0688,0.0078,0.0586,uređen
AGN52936.1 ___spike glycoprotein,0.027,0,0.0405,0.0541,0,0.0405,0.0405,0.0135,0.0541,0.027,0.0405,0,0.0811,0.027,0.0946,0.2703,0.0811,0.0946,0,0.0135,neuređen
AHX24649.2 ___virion spike glycoprotein precursor,0.0651,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0567,0.0294,0.0294,uređen
AHX24649.2 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AHX24658.2 ___virion spike glycoprotein precursor,0.0651,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0567,0.0294,0.0294,uređen
AHX24658.2 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AHX24667.2 ___virion spike glycoprotein precursor,0.0658,0.0255,0.051,0.0488,0.0573,0.0913,0.017,0.0764,0.0467,0.0913,0.0021,0.0467,0.0446,0.0403,0.0573,0.0361,0.087,0.0573,0.0276,0.0297,uređen
AHX24667.2 ___virion spike glycoprotein precursor,0.0927,0,0.0537,0.0585,0.0098,0.0488,0.0439,0.0244,0.0439,0.0439,0.0146,0.078,0.0732,0.039,0.0341,0.1463,0.1463,0.039,0,0.0098,neuređen
AHY61337.1 ___spike glycoprotein,0.0762,0.0328,0.0475,0.0336,0.0582,0.0746,0.0131,0.0484,0.0377,0.0861,0.0156,0.0631,0.0434,0.0566,0.0303,0.0795,0.0648,0.0713,0.009,0.0582,uređen
AHY61337.1 ___spike glycoprotein,0.0392,0.0098,0.0784,0.0882,0.0392,0.0196,0.0294,0.0196,0.0784,0.0686,0.0392,0.049,0.0686,0.0686,0.0686,0.1275,0.0392,0.0588,0,0.0098,neuređen
AIE11800.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11800.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11809.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11809.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11818.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11818.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11827.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11827.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11836.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11836.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11845.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11845.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11854.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11854.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11863.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11863.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11872.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11872.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11881.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11881.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11890.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11890.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11899.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11899.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11908.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11908.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIE11917.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIE11917.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95887.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95887.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95896.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95896.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95905.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95905.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95914.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95914.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95923.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95923.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95932.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95932.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95941.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95941.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95950.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95950.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95959.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95959.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95968.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95968.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95977.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95977.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95986.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95986.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG95995.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG95995.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
AIG96004.1 ___virion spike glycoprotein precursor,0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,uređen
AIG96004.1 ___virion spike glycoprotein precursor,0.095,0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0,0.01,neuređen
