Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AWO14194.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
QGX74968.1 ___nucleoprotein,0.51655,0.48345,51.65%,48.35%,-0.0641
QGX74975.1 ___nucleoprotein,0.51655,0.48345,51.65%,48.35%,-0.0641
QGX74982.1 ___nucleoprotein,0.51655,0.48345,51.65%,48.35%,-0.0641
QGX74989.1 ___nucleoprotein,0.51655,0.48345,51.65%,48.35%,-0.0641
QIC36345.1 ___nucleoprotein,0.52086,0.47914,52.09%,47.91%,-0.0801
QYC62005.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
UFZ14317.1 ___nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
WKR37929.1 ___nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
YP_001531153.1 ___nucleoprotein,0.50935,0.49065,50.94%,49.06%,-0.0367
YP_009055222.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
AHX00718.1 ___nucleocapsid,0.44794,0.55206,44.79%,55.21%,0.2324
AHX00728.1 ___nucleocapsid,0.44794,0.55206,44.79%,55.21%,0.2324
AHX00738.1 ___nucleocapsid,0.44794,0.55206,44.79%,55.21%,0.2324
AHX71953.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
AHY61344.1 ___nucleocapsid phosphoprotein,0.27419,0.72581,27.42%,72.58%,1.6471
AKL59408.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AKN24756.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24765.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24774.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24783.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24792.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24801.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24810.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24819.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24828.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
AKN24837.1 ___nucleocapsid,0.47942,0.52058,47.94%,52.06%,0.0859
ALA49348.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49359.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49370.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49381.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49392.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49403.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49414.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49425.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49436.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49447.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49458.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49469.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49480.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49491.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49502.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49513.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49524.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49535.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49546.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49557.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49568.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49579.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49590.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49601.1 ___nucleocapsid protein,0.45521,0.54479,45.52%,54.48%,0.1968
ALA49612.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49623.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49634.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49645.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49656.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49667.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49678.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49689.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49700.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49711.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49722.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49733.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49744.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49755.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49766.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49777.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49788.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49799.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49810.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49821.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49832.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49843.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49854.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49865.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49876.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49887.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49898.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49909.1 ___nucleocapsid protein,0.45521,0.54479,45.52%,54.48%,0.1968
ALA49920.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49931.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49942.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49953.1 ___nucleocapsid protein,0.45278,0.54722,45.28%,54.72%,0.2086
ALA49964.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49975.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49986.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA49997.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA50008.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA50019.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA50030.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA50041.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA50052.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA50063.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALA50074.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ALR69648.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ALT66877.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ALT66887.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ANC28652.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ANC28663.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ANC28674.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ANC28685.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ANC28696.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ANC28707.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ANC28718.1 ___nucleocapsid protein,0.45036,0.54964,45.04%,54.96%,0.2204
ANI69831.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ANI69842.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ANI69853.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ANI69864.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ANI69874.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ANI69885.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ANI69896.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ANI69907.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ANI69918.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ANI69929.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AQZ41292.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AQZ41303.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AQZ41318.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AQZ41328.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AQZ41339.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AQZ41350.1 ___nucleoprotein,0.47215,0.52785,47.22%,52.78%,0.1179
AQZ41361.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AQZ41372.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
AQZ41383.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ARQ84742.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ARQ84753.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ARQ84764.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ARQ84775.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ASU45703.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU45715.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU45726.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45737.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45748.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45759.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45770.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45781.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45792.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45803.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ASU45814.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45825.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45836.1 ___nucleoprotein,0.45278,0.54722,45.28%,54.72%,0.2086
ASU45847.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45858.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45869.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU45880.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU89928.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU89940.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU89951.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU89962.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU89973.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU89984.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU89995.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90006.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90017.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90028.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90039.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90050.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90061.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90072.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90083.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90094.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90105.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90116.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90127.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90138.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90149.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90160.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90171.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90182.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90193.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90204.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90215.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90226.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90237.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90248.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90259.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90270.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90281.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90292.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
"ASU90303.1 ___nucleoprotein, partial",0.43119,0.56881,43.12%,56.88%,0.3191
ASU90314.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90325.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90336.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90347.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90358.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90369.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90380.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90391.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90402.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90413.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90424.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90435.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90446.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90457.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90468.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90479.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90490.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90501.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90512.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90523.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90534.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90545.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90556.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90567.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90578.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90589.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90600.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90611.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90622.1 ___nucleoprotein,0.47215,0.52785,47.22%,52.78%,0.1179
ASU90633.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90644.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90655.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90666.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90677.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90688.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90699.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90710.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90721.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90732.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90743.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90754.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90765.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90776.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90787.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90798.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90809.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90820.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90831.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90842.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90853.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90864.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90875.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90886.1 ___nucleoprotein,0.44552,0.55448,44.55%,55.45%,0.2446
ASU90897.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90908.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90919.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90930.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90941.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90952.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90963.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90973.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90984.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU90995.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU91006.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
ASU91017.1 ___nucleoprotein,0.45036,0.54964,45.04%,54.96%,0.2204
