Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
ABY75323.1 ___matrix protein,0.0614,0.0044,0.0614,0.0175,0.0395,0.0526,0.0263,0.0877,0.0614,0.1316,0.0263,0.0307,0.1053,0.0526,0.0219,0.0439,0.0702,0.0746,0.0088,0.0219,uređen
ABY75323.1 ___matrix protein,0.0714,0.0102,0.051,0.0306,0.0,0.0816,0.0204,0.0408,0.0612,0.051,0.051,0.0408,0.1224,0.0306,0.051,0.1327,0.0714,0.051,0.0,0.0306,neuređen
ACR33189.1 ___matrix protein,0.0614,0.0044,0.0614,0.0175,0.0395,0.0526,0.0263,0.0877,0.0614,0.1316,0.0263,0.0307,0.1053,0.0526,0.0219,0.0439,0.0702,0.0746,0.0088,0.0219,uređen
ACR33189.1 ___matrix protein,0.0714,0.0102,0.051,0.0306,0.0,0.0816,0.0204,0.0408,0.0612,0.051,0.051,0.0408,0.1224,0.0306,0.051,0.1327,0.0714,0.051,0.0,0.0306,neuređen
ACT22786.1 ___matrix protein VP40,0.0636,0.0042,0.0508,0.0212,0.0339,0.0466,0.0127,0.1017,0.0381,0.1356,0.0212,0.0339,0.1144,0.0424,0.0339,0.0466,0.0763,0.089,0.0085,0.0254,uređen
ACT22786.1 ___matrix protein VP40,0.0737,0.0105,0.0842,0.0105,0.0,0.0842,0.0632,0.0105,0.0947,0.0316,0.0316,0.0316,0.1368,0.0421,0.0316,0.1368,0.0526,0.0526,0.0,0.0211,neuređen
ACT22801.1 ___matrix protein VP40,0.0658,0.0041,0.0494,0.0206,0.0329,0.0535,0.0123,0.1029,0.0453,0.1317,0.0206,0.037,0.1111,0.0453,0.0329,0.0453,0.0741,0.0823,0.0082,0.0247,uređen
ACT22801.1 ___matrix protein VP40,0.0795,0.0114,0.1023,0.0114,0.0,0.0682,0.0682,0.0114,0.0795,0.0341,0.0341,0.0341,0.1364,0.0341,0.0341,0.1364,0.0455,0.0568,0.0,0.0227,neuređen
AFP28226.1 ___matrix protein,0.0614,0.0044,0.0614,0.0175,0.0395,0.0526,0.0263,0.0877,0.0614,0.1316,0.0307,0.0307,0.1053,0.0526,0.0219,0.0439,0.0658,0.0746,0.0088,0.0219,uređen
AFP28226.1 ___matrix protein,0.0714,0.0102,0.051,0.0306,0.0,0.0816,0.0204,0.0408,0.0714,0.051,0.051,0.0408,0.1224,0.0306,0.0408,0.1327,0.0714,0.051,0.0,0.0306,neuređen
AGB56677.1 ___matrix protein,0.0614,0.0044,0.0614,0.0175,0.0395,0.0526,0.0263,0.0877,0.0614,0.1316,0.0263,0.0307,0.1053,0.0526,0.0219,0.0439,0.0702,0.0746,0.0088,0.0219,uređen
AGB56677.1 ___matrix protein,0.0714,0.0102,0.051,0.0306,0.0,0.0816,0.0204,0.0408,0.0612,0.051,0.051,0.0408,0.1224,0.0306,0.051,0.1327,0.0714,0.051,0.0,0.0306,neuređen
AGC02885.1 ___matrix protein VP40,0.0636,0.0042,0.0508,0.0212,0.0339,0.0466,0.0127,0.1017,0.0381,0.1356,0.0212,0.0339,0.1144,0.0424,0.0339,0.0466,0.0763,0.089,0.0085,0.0254,uređen
AGC02885.1 ___matrix protein VP40,0.0737,0.0105,0.0842,0.0105,0.0,0.0842,0.0632,0.0105,0.0947,0.0316,0.0316,0.0316,0.1368,0.0421,0.0316,0.1368,0.0526,0.0526,0.0,0.0211,neuređen
AGC02893.1 ___matrix protein VP40,0.0656,0.0041,0.0533,0.0205,0.0287,0.0533,0.0123,0.1066,0.0492,0.1352,0.0205,0.0369,0.1107,0.0451,0.0328,0.0451,0.0656,0.082,0.0082,0.0246,uređen
AGC02893.1 ___matrix protein VP40,0.0805,0.0115,0.092,0.0115,0.0,0.069,0.069,0.0115,0.0805,0.0345,0.0345,0.0345,0.1379,0.0345,0.0345,0.1379,0.046,0.0575,0.0,0.023,neuređen
AHX24648.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AHX24648.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AHX24657.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AHX24657.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AHX24666.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AHX24666.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AHX71952.1 ___membrane protein,0.0865,0.0096,0.0288,0.024,0.0481,0.0529,0.0144,0.0913,0.0337,0.0865,0.0433,0.0433,0.0481,0.024,0.0385,0.0913,0.0625,0.0913,0.0337,0.0481,uređen
AHX71952.1 ___membrane protein,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727,0.1818,0.0909,0.0,0.0909,0.0909,0.0909,0.0909,0.0,0.0,0.0,neuređen
AIE11799.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11799.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11808.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11808.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11817.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11817.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11826.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11826.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11835.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11835.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11844.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11844.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11853.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11853.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11862.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11862.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11871.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11871.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11880.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11880.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11889.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11889.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11898.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11898.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11907.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11907.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11916.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11916.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIE11925.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIE11925.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95886.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95886.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95895.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95895.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95904.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95904.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95913.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95913.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95922.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95922.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95931.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95931.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95940.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95940.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95949.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95949.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95958.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95958.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95967.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95967.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95976.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95976.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95985.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95985.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG95994.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG95994.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96003.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96003.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96012.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96012.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96021.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96021.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96030.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96030.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96039.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96039.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96048.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96048.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96057.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96057.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96066.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96066.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96075.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96075.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96084.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96084.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96093.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96093.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96102.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96102.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96111.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96111.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96120.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AIG96120.1 ___matrix protein,0.08,0.0,0.048,0.04,0.016,0.08,0.024,0.064,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AIG96129.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
