Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
ASU91043.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91054.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91065.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91076.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91087.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91098.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91109.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91120.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91131.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91142.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91153.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91164.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91175.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91186.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91197.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91208.1 ___spike glycoprotein,0.94605,0.05395,94.6%,5.4%,-0.943
ASU91219.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91230.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91241.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91252.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91262.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91273.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91295.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91305.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91315.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91325.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ATY74381.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ATY74392.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
ATY74403.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
ATY74414.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87318.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87329.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87351.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87362.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87373.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87384.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87395.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87406.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87428.1 ___spike glycoprotein,0.93126,0.06874,93.13%,6.87%,-0.9262
AVK87450.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AVK87461.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AVV61900.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AWM99582.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AWU59321.1 ___spike glycoprotein,0.94974,0.05026,94.97%,5.03%,-0.9471
AXG21643.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AXG21654.1 ___spike glycoprotein,0.94974,0.05026,94.97%,5.03%,-0.9471
AXG21665.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AYJ71470.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AYJ71481.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AYM48030.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AYO86699.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AYP10298.1 ___spike glycoprotein,0.94752,0.05248,94.75%,5.25%,-0.9446
AYV64549.1 ___spike glycoprotein,0.94752,0.05248,94.75%,5.25%,-0.9446
AYV64560.1 ___spike glycoprotein,0.94752,0.05248,94.75%,5.25%,-0.9446
QDP16195.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
QDP16206.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
QGW51898.1 ___spike glycoprotein,0.94309,0.05691,94.31%,5.69%,-0.9397
QGW51909.1 ___spike glycoprotein,0.94309,0.05691,94.31%,5.69%,-0.9397
QGW51920.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
UBS90429.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
UBS90451.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
UBS90462.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
UBS90473.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
UBS90484.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
UBS90506.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
UBS90517.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
UYR00344.1 ___spike glycoprotein,0.95565,0.04435,95.57%,4.43%,-0.9536
UYR00354.1 ___spike glycoprotein,0.96231,0.03769,96.23%,3.77%,-0.9608
UYR00365.1 ___spike glycoprotein,0.96231,0.03769,96.23%,3.77%,-0.9608
XJP51031.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
XJP51042.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
XJP51053.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
AAD14585.1 ___virion spike glycoprotein precursor,0.71893,0.28107,71.89%,28.11%,-0.6091
AAQ55048.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
ABX75367.1 ___virion spike glycoprotein precursor,0.71893,0.28107,71.89%,28.11%,-0.6091
ACI28624.1 ___spike glycoprotein precursor,0.68047,0.31953,68.05%,31.95%,-0.5304
ACI28632.1 ___spike glycoprotein precursor,0.6716,0.3284,67.16%,32.84%,-0.511
AGB56686.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56695.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56704.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56713.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56722.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56731.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56740.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56749.1 ___virion spike glycoprotein precursor,0.71893,0.28107,71.89%,28.11%,-0.6091
AGB56758.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56767.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56776.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56785.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56794.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56803.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56812.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56821.1 ___virion spike glycoprotein precursor,0.70562,0.29438,70.56%,29.44%,-0.5828
AGB56830.1 ___virion spike glycoprotein precursor,0.71598,0.28402,71.6%,28.4%,-0.6033
AGB56839.1 ___virion spike glycoprotein precursor,0.71893,0.28107,71.89%,28.11%,-0.6091
AHX24649.2 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AHX24658.2 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AHX24667.2 ___virion spike glycoprotein precursor,0.69675,0.30325,69.67%,30.33%,-0.5648
AIE11800.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11809.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11818.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11827.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11836.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11845.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11854.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11863.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11872.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11881.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11890.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11899.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11908.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIE11917.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95887.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95896.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95905.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95914.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95923.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95932.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95941.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95950.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95959.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95968.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95977.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95986.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG95995.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96004.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96013.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96022.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96031.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96040.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96049.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96058.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96067.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96076.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96085.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96094.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96103.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96112.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96121.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96130.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96139.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96148.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96157.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96166.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96175.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96184.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96193.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96202.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96211.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96220.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96229.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96238.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96247.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96256.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96265.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96274.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96283.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96292.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96301.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96310.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96319.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96328.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
AIG96337.1 ___virion spike glycoprotein precursor,0.70414,0.29586,70.41%,29.59%,-0.5798
