Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AGB56731.1 ___virion spike glycoprotein precursor,0.0671,0.0955,-0.2974,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0452,0.9932,0.0168,0.0503,-0.6662,0.0776,0.0101,6.718,0.0482,0.0402,0.1994,0.0922,0.0352,1.6223,0.0021,0.0101,-0.7914,0.0482,0.0704,-0.3146,0.044,0.0854,-0.4846,0.0398,0.0352,0.1324,0.0566,0.0302,0.8774,0.0356,0.1508,-0.7636,0.0881,0.1558,-0.4348,0.0545,0.0452,0.2052,0.0294,0.0,0,0.0294,0.0101,1.9203
AGB56740.1 ___virion spike glycoprotein precursor,0.0671,0.0955,-0.2974,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0452,0.9932,0.0168,0.0503,-0.6662,0.0776,0.0101,6.718,0.0482,0.0402,0.1994,0.0922,0.0352,1.6223,0.0021,0.0101,-0.7914,0.0482,0.0704,-0.3146,0.044,0.0854,-0.4846,0.0398,0.0352,0.1324,0.0566,0.0302,0.8774,0.0356,0.1508,-0.7636,0.0881,0.1558,-0.4348,0.0545,0.0452,0.2052,0.0294,0.0,0,0.0294,0.0101,1.9203
AGB56749.1 ___virion spike glycoprotein precursor,0.0638,0.0895,-0.2871,0.0247,0.0,0.0,0.0494,0.0579,-0.147,0.0514,0.0579,-0.1115,0.0576,0.0105,4.4733,0.0885,0.0526,0.6811,0.0165,0.0526,-0.6872,0.0761,0.0211,2.6163,0.0473,0.0368,0.2845,0.0926,0.0316,1.9321,0.0021,0.0158,-0.8697,0.0473,0.0737,-0.3577,0.0432,0.0737,-0.4136,0.0391,0.0421,-0.0715,0.0576,0.0263,1.1893,0.0391,0.1526,-0.7439,0.0905,0.1579,-0.4266,0.0556,0.0421,0.3194,0.0288,0.0,0,0.0288,0.0053,4.4733
AGB56758.1 ___virion spike glycoprotein precursor,0.065,0.0905,-0.2815,0.0252,0.0,0.0,0.0503,0.0503,0.0013,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0251,2.0872,0.0482,0.0352,0.3708,0.0922,0.0452,1.0396,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0754,-0.4159,0.0398,0.0352,0.1324,0.0566,0.0402,0.408,0.0356,0.1407,-0.7467,0.0901,0.1558,-0.4213,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
AGB56767.1 ___virion spike glycoprotein precursor,0.065,0.0905,-0.2815,0.0252,0.0,0.0,0.0503,0.0503,0.0013,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0201,2.859,0.0482,0.0352,0.3708,0.0922,0.0452,1.0396,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0754,-0.4159,0.0398,0.0402,-0.0092,0.0566,0.0352,0.6092,0.0356,0.1407,-0.7467,0.0901,0.1608,-0.4394,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
AGB56776.1 ___virion spike glycoprotein precursor,0.065,0.0854,-0.2392,0.0252,0.0,0.0,0.0503,0.0503,0.0013,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0201,2.859,0.0503,0.0352,0.4304,0.0922,0.0402,1.2945,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0804,-0.4524,0.0398,0.0402,-0.0092,0.0545,0.0352,0.5496,0.0356,0.1407,-0.7467,0.0901,0.1658,-0.4564,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
AGB56785.1 ___virion spike glycoprotein precursor,0.065,0.0905,-0.2815,0.0252,0.0,0.0,0.0503,0.0503,0.0013,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0201,2.859,0.0482,0.0352,0.3708,0.0922,0.0452,1.0396,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0754,-0.4159,0.0398,0.0402,-0.0092,0.0566,0.0352,0.6092,0.0356,0.1407,-0.7467,0.0901,0.1608,-0.4394,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
AGB56794.1 ___virion spike glycoprotein precursor,0.0671,0.0905,-0.2583,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0201,2.859,0.0482,0.0352,0.3708,0.0922,0.0402,1.2945,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0804,-0.4524,0.0398,0.0402,-0.0092,0.0566,0.0352,0.6092,0.0356,0.1407,-0.7467,0.0881,0.1558,-0.4348,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
AGB56803.1 ___virion spike glycoprotein precursor,0.065,0.0905,-0.2815,0.0252,0.0,0.0,0.0503,0.0503,0.0013,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0201,2.859,0.0482,0.0352,0.3708,0.0922,0.0452,1.0396,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0754,-0.4159,0.0398,0.0402,-0.0092,0.0566,0.0352,0.6092,0.0356,0.1407,-0.7467,0.0901,0.1608,-0.4394,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
AGB56812.1 ___virion spike glycoprotein precursor,0.065,0.0854,-0.2392,0.0252,0.0,0.0,0.0503,0.0503,0.0013,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0201,2.859,0.0503,0.0352,0.4304,0.0922,0.0402,1.2945,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0804,-0.4524,0.0398,0.0402,-0.0092,0.0545,0.0352,0.5496,0.0356,0.1407,-0.7467,0.0901,0.1658,-0.4564,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
AGB56821.1 ___virion spike glycoprotein precursor,0.0671,0.0905,-0.2583,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0201,2.859,0.0482,0.0352,0.3708,0.0922,0.0402,1.2945,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0804,-0.4524,0.0398,0.0402,-0.0092,0.0566,0.0352,0.6092,0.0356,0.1407,-0.7467,0.0881,0.1558,-0.4348,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
AGB56830.1 ___virion spike glycoprotein precursor,0.0702,0.0938,-0.2507,0.0248,0.0,0.0,0.0496,0.0625,-0.2066,0.0475,0.0729,-0.3483,0.0558,0.0104,4.3554,0.0888,0.0521,0.7058,0.0186,0.0417,-0.5537,0.0785,0.0312,1.5124,0.0475,0.0365,0.3034,0.095,0.0208,3.562,0.0021,0.0156,-0.8678,0.0475,0.0677,-0.2982,0.0434,0.0781,-0.4446,0.0393,0.0469,-0.1625,0.0558,0.0312,0.7851,0.0372,0.1458,-0.745,0.0868,0.1406,-0.3829,0.0537,0.0365,0.4734,0.0289,0.0,0,0.0289,0.0156,0.8512
AGB56839.1 ___virion spike glycoprotein precursor,0.0638,0.0895,-0.2871,0.0247,0.0,0.0,0.0494,0.0579,-0.147,0.0514,0.0579,-0.1115,0.0576,0.0105,4.4733,0.0885,0.0526,0.6811,0.0165,0.0526,-0.6872,0.0761,0.0211,2.6163,0.0473,0.0368,0.2845,0.0926,0.0316,1.9321,0.0021,0.0158,-0.8697,0.0473,0.0737,-0.3577,0.0432,0.0737,-0.4136,0.0391,0.0421,-0.0715,0.0576,0.0263,1.1893,0.0391,0.1526,-0.7439,0.0905,0.1579,-0.4266,0.0556,0.0421,0.3194,0.0288,0.0,0,0.0288,0.0053,4.4733
AGN52936.1 ___spike glycoprotein,0.0672,0.027,1.4879,0.0328,0.0,0.0,0.0493,0.0405,0.215,0.0328,0.0541,-0.3925,0.0555,0.0,0.0,0.0696,0.0405,0.7164,0.0141,0.0405,-0.6529,0.0571,0.0135,3.2236,0.0367,0.0541,-0.3202,0.0923,0.027,2.4136,0.0141,0.0405,-0.6529,0.0602,0.0,0.0,0.0438,0.0811,-0.46,0.0539,0.027,0.9961,0.0289,0.0946,-0.6942,0.0891,0.2703,-0.6702,0.0672,0.0811,-0.1707,0.0688,0.0946,-0.2726,0.0078,0.0,0,0.0586,0.0135,3.3393
AHX24649.2 ___virion spike glycoprotein precursor,0.0651,0.095,-0.3145,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0567,0.04,0.4181,0.0294,0.0,0,0.0294,0.01,1.9412
AHX24658.2 ___virion spike glycoprotein precursor,0.0651,0.095,-0.3145,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0567,0.04,0.4181,0.0294,0.0,0,0.0294,0.01,1.9412
AHX24667.2 ___virion spike glycoprotein precursor,0.0658,0.0927,-0.2899,0.0255,0.0,0.0,0.051,0.0537,-0.0504,0.0488,0.0585,-0.1658,0.0573,0.0098,4.8758,0.0913,0.0488,0.8715,0.017,0.0439,-0.6131,0.0764,0.0244,2.1338,0.0467,0.0439,0.0639,0.0913,0.0439,1.0795,0.0021,0.0146,-0.8549,0.0467,0.078,-0.4015,0.0446,0.0732,-0.3907,0.0403,0.039,0.0337,0.0573,0.0341,0.6788,0.0361,0.1463,-0.7534,0.087,0.1463,-0.4052,0.0573,0.039,0.4689,0.0276,0.0,0,0.0297,0.0098,2.0467
AHY61337.1 ___spike glycoprotein,0.0762,0.0392,0.9439,0.0328,0.0098,2.3443,0.0475,0.0784,-0.3939,0.0336,0.0882,-0.6191,0.0582,0.0392,0.484,0.0746,0.0196,2.8041,0.0131,0.0294,-0.5541,0.0484,0.0196,1.4664,0.0377,0.0784,-0.5193,0.0861,0.0686,0.2541,0.0156,0.0392,-0.6029,0.0631,0.049,0.2875,0.0434,0.0686,-0.367,0.0566,0.0686,-0.1759,0.0303,0.0686,-0.5581,0.0795,0.1275,-0.3762,0.0648,0.0392,0.6512,0.0713,0.0588,0.2123,0.009,0.0,0,0.0582,0.0098,4.9361
AIE11800.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11809.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11818.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11827.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11836.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11845.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11854.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11863.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11872.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
AIE11881.1 ___virion spike glycoprotein precursor,0.063,0.095,-0.3366,0.0252,0.0,0.0,0.0504,0.055,-0.0833,0.0483,0.06,-0.1947,0.0567,0.01,4.6723,0.0903,0.05,0.8067,0.0168,0.045,-0.6265,0.0756,0.025,2.0252,0.0483,0.04,0.208,0.0924,0.04,1.3109,0.0021,0.015,-0.8599,0.0483,0.075,-0.3557,0.0441,0.075,-0.4118,0.0399,0.04,-0.0021,0.0567,0.03,0.8908,0.0357,0.15,-0.7619,0.0882,0.145,-0.3915,0.0588,0.04,0.4706,0.0294,0.0,0,0.0294,0.01,1.9412
