Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AGB56803.1 ___virion spike glycoprotein precursor,0.0459,0.0266,0.7222,0.0178,0.0,0.0,0.0355,0.0148,1.4,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.034,0.0104,2.2857,0.0651,0.0133,3.8889,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0104,2.8571,0.0251,0.0414,-0.3929,0.0636,0.0473,0.3438,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
AGB56812.1 ___virion spike glycoprotein precursor,0.0459,0.0251,0.8235,0.0178,0.0,0.0,0.0355,0.0148,1.4,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.0355,0.0104,2.4286,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0237,0.3125,0.0281,0.0118,1.375,0.0385,0.0104,2.7143,0.0251,0.0414,-0.3929,0.0636,0.0488,0.303,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
AGB56821.1 ___virion spike glycoprotein precursor,0.0473,0.0266,0.7778,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.034,0.0104,2.2857,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0237,0.3125,0.0281,0.0118,1.375,0.0399,0.0104,2.8571,0.0251,0.0414,-0.3929,0.0621,0.0459,0.3548,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
AGB56830.1 ___virion spike glycoprotein precursor,0.0503,0.0266,0.8889,0.0178,0.0,0.0,0.0355,0.0178,1.0,0.034,0.0207,0.6429,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0133,0.0118,0.125,0.0562,0.0089,5.3333,0.034,0.0104,2.2857,0.068,0.0059,10.5,0.0015,0.0044,-0.6667,0.034,0.0192,0.7692,0.0311,0.0222,0.4,0.0281,0.0133,1.1111,0.0399,0.0089,3.5,0.0266,0.0414,-0.3571,0.0621,0.0399,0.5556,0.0385,0.0104,2.7143,0.0207,0.0,0,0.0207,0.0044,3.6667
AGB56839.1 ___virion spike glycoprotein precursor,0.0459,0.0251,0.8235,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.037,0.0163,1.2727,0.0414,0.003,13.0,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.034,0.0104,2.2857,0.0666,0.0089,6.5,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0207,0.5,0.0281,0.0118,1.375,0.0414,0.0074,4.6,0.0281,0.0429,-0.3448,0.0651,0.0444,0.4667,0.0399,0.0118,2.375,0.0207,0.0,0,0.0207,0.0015,13.0
AGN52936.1 ___spike glycoprotein,0.0636,0.0015,42.0,0.031,0.0,0.0,0.0466,0.0022,20.0,0.031,0.003,9.5,0.0525,0.0,0.0,0.0658,0.0022,28.6667,0.0133,0.0022,5.0,0.054,0.0007,72.0,0.0347,0.003,10.75,0.0872,0.0015,58.0,0.0133,0.0022,5.0,0.0569,0.0,0.0,0.0414,0.0044,8.3333,0.051,0.0015,33.5,0.0273,0.0052,4.2857,0.0843,0.0148,4.7,0.0636,0.0044,13.3333,0.065,0.0052,11.5714,0.0074,0.0,0,0.0554,0.0007,74.0
AHX24649.2 ___virion spike glycoprotein precursor,0.0459,0.0281,0.6316,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0399,0.0118,2.375,0.0207,0.0,0,0.0207,0.003,6.0
AHX24658.2 ___virion spike glycoprotein precursor,0.0459,0.0281,0.6316,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0399,0.0118,2.375,0.0207,0.0,0,0.0207,0.003,6.0
AHX24667.2 ___virion spike glycoprotein precursor,0.0459,0.0281,0.6316,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.0325,0.0133,1.4444,0.0636,0.0133,3.7778,0.0015,0.0044,-0.6667,0.0325,0.0237,0.375,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0104,2.8571,0.0251,0.0444,-0.4333,0.0607,0.0444,0.3667,0.0399,0.0118,2.375,0.0192,0.0,0,0.0207,0.003,6.0
AHY61337.1 ___spike glycoprotein,0.0703,0.003,22.25,0.0303,0.0008,39.0,0.0439,0.0061,6.25,0.031,0.0068,3.5556,0.0537,0.003,16.75,0.0688,0.0015,44.5,0.0121,0.0023,4.3333,0.0446,0.0015,28.5,0.0348,0.0061,4.75,0.0794,0.0053,14.0,0.0144,0.003,3.75,0.0582,0.0038,14.4,0.0401,0.0053,6.5714,0.0522,0.0053,8.8571,0.028,0.0053,4.2857,0.0734,0.0098,6.4615,0.0598,0.003,18.75,0.0658,0.0045,13.5,0.0083,0.0,0,0.0537,0.0008,70.0
AIE11800.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11809.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11818.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11827.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11836.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11845.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11854.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11863.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11872.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11881.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
AIE11890.1 ___virion spike glycoprotein precursor,0.0444,0.0281,0.5789,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0178,0.9167,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0133,-0.1111,0.0533,0.0074,6.2,0.034,0.0118,1.875,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0222,0.5333,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0429,0.4483,0.0414,0.0118,2.5,0.0207,0.0,0,0.0207,0.003,6.0
